    h   V  C    x      y      Y
  2.5R  5 16 0.5300 0.2880 19.770
  2.5R  5 18 0.5540 0.2804 19.770
  2.5R  5 20 0.5784 0.2719 19.770
    5R  5  2 0.3392 0.3192 19.770
    5R  5  4 0.3740 0.3220 19.770
    5R  5  6 0.4078 0.3238 19.770
    5R  5  8 0.4413 0.3240 19.770
    5R  5 10 0.4747 0.3227 19.770
    5R  5 12 0.5071 0.3194 19.770
    5R  5 14 0.5341 0.3158 19.770
    5R  5 16 0.5637 0.3102 19.770
    5R  5 18 0.5918 0.3038 19.770
    5R  5 20 0.6142 0.2970 19.770
  7.5R  5  2 0.3425 0.3229 19.770
  7.5R  5  4 0.3806 0.3294 19.770
  7.5R  5  6 0.4180 0.3348 19.770
  7.5R  5  8 0.4563 0.3387 19.770
  7.5R  5 10 0.4927 0.3399 19.770
  7.5R  5 12 0.5280 0.3389 19.770
  7.5R  5 14 0.5590 0.3370 19.770
  7.5R  5 16 0.5901 0.3331 19.770
  7.5R  5 18 0.6161 0.3277 19.770
  7.5R  5 20 0.6388 0.3216 19.770
   10R  5  2 0.3465 0.3278 19.770
   10R  5  4 0.3879 0.3398 19.770
   10R  5  6 0.4299 0.3499 19.770
   10R  5  8 0.4713 0.3575 19.770
   10R  5 10 0.5113 0.3630 19.770
   10R  5 12 0.5481 0.3660 19.770
   10R  5 14 0.5771 0.3664 19.770
   10R  5 16 0.6037 0.3657 19.770
   10R  5 18 0.6297 0.3642 19.770
 2.5YR  5  2 0.3506 0.3337 19.770
 2.5YR  5  4 0.3925 0.3494 19.770
 2.5YR  5  6 0.4365 0.3640 19.770
 2.5YR  5  8 0.4795 0.3758 19.770
 2.5YR  5 10 0.5175 0.3844 19.770
 2.5YR  5 12 0.5482 0.3909 19.770
 2.5YR  5 14 0.5731 0.3953 19.770
 2.5YR  5 16 0.5933 0.3989 19.770
   5YR  5  2 0.3530 0.3395 19.770
   5YR  5  4 0.3968 0.3614 19.770
   5YR  5  6 0.4420 0.3808 19.770
   5YR  5  8 0.4830 0.3960 19.770
   5YR  5 10 0.5161 0.4064 19.770
   5YR  5 12 0.5422 0.4141 19.770
   5YR  5 14 0.5642 0.4201 19.770
 7.5YR  5  2 0.3540 0.3445 19.770
 7.5YR  5  4 0.3991 0.3714 19.770
 7.5YR  5  6 0.4440 0.3954 19.770
 7.5YR  5  8 0.4820 0.4141 19.770
 7.5YR  5 10 0.5108 0.4276 19.770
 7.5YR  5 12 0.5335 0.4378 19.770
 7.5YR  5 14 0.5506 0.4450 19.770
  10YR  5  2 0.3546 0.3514 19.770
  10YR  5  4 0.3995 0.3840 19.770
  10YR  5  6 0.4428 0.4128 19.770
  10YR  5  8 0.4770 0.4338 19.770
  10YR  5 10 0.5025 0.4489 19.770
  10YR  5 12 0.5211 0.4600 19.770
  2.5Y  5  2 0.3534 0.3570 19.770
  2.5Y  5  4 0.3968 0.3954 19.770
  2.5Y  5  6 0.4380 0.4292 19.770
  2.5Y  5  8 0.4685 0.4524 19.770
  2.5Y  5 10 0.4905 0.4683 19.770
  2.5Y  5 12 0.5082 0.4812 19.770
    5Y  5  2 0.3500 0.3620 19.770
    5Y  5  4 0.3915 0.4057 19.770
    5Y  5  6 0.4302 0.4435 19.770
    5Y  5  8 0.4579 0.4692 19.770
    5Y  5 10 0.4777 0.4876 19.770
    5Y  5 12 0.4932 0.5019 19.770
  7.5Y  5  2 0.3470 0.3640 19.770
  7.5Y  5  4 0.3850 0.4120 19.770
  7.5Y  5  6 0.4199 0.4551 19.770
  7.5Y  5  8 0.4450 0.4850 19.770
  7.5Y  5 10 0.4632 0.5057 19.770
  7.5Y  5 12 0.4767 0.5208 19.770
   10Y  5  2 0.3422 0.3648 19.770
   10Y  5  4 0.3762 0.4158 19.770
   10Y  5  6 0.4072 0.4621 19.770
   10Y  5  8 0.4307 0.4967 19.770
   10Y  5 10 0.4468 0.5209 19.770
   10Y  5 12 0.4590 0.5390 19.770
 2.5GY  5  2 0.3352 0.3636 19.770
 2.5GY  5  4 0.3621 0.4143 19.770
 2.5GY  5  6 0.3879 0.4646 19.770
 2.5GY  5  8 0.4088 0.5068 19.770
 2.5GY  5 10 0.4224 0.5369 19.770
 2.5GY  5 12 0.4333 0.5602 19.770
   5GY  5  2 0.3289 0.3612 19.770
   5GY  5  4 0.3482 0.4097 19.770
   5GY  5  6 0.3663 0.4614 19.770
   5GY  5  8 0.3815 0.5093 19.770
   5GY  5 10 0.3928 0.5485 19.770
   5GY  5 12 0.4011 0.5802 19.770
 7.5GY  5  2 0.3188 0.3560 19.770
 7.5GY  5  4 0.3274 0.3994 19.770
 7.5GY  5  6 0.3354 0.4483 19.770
 7.5GY  5  8 0.3412 0.4976 19.770
 7.5GY  5 10 0.3451 0.5490 19.770
 7.5GY  5 12 0.3450 0.5949 19.770
 7.5GY  5 14 0.3429 0.6335 19.770
  10GY  5  2 0.3110 0.3508 19.770
  10GY  5  4 0.3111 0.3881 19.770
  10GY  5  6 0.3108 0.4301 19.770
  10GY  5  8 0.3080 0.4759 19.770
  10GY  5 10 0.3028 0.5237 19.770
  10GY  5 12 0.2940 0.5751 19.770
  10GY  5 14 0.2838 0.6208 19.770
  10GY  5 16 0.2702 0.6700 19.770
  10GY  5 18 0.2549 0.7179 19.770
  2.5G  5  2 0.3030 0.3445 19.770
  2.5G  5  4 0.2943 0.3735 19.770
  2.5G  5  6 0.2841 0.4045 19.770
  2.5G  5  8 0.2710 0.4380 19.770
  2.5G  5 10 0.2565 0.4705 19.770
  2.5G  5 12 0.2385 0.5071 19.770
  2.5G  5 14 0.2211 0.5411 19.770
  2.5G  5 16 0.2005 0.5759 19.770
  2.5G  5 18 0.1782 0.6095 19.770
  2.5G  5 20 0.1579 0.6392 19.770
  2.5G  5 22 0.1377 0.6674 19.770
  2.5G  5 24 0.1188 0.6918 19.770
  2.5G  5 26 0.0992 0.7155 19.770
  2.5G  5 28 0.0794 0.7385 19.770
    5G  5  2 0.2978 0.3392 19.770
    5G  5  4 0.2841 0.3628 19.770
    5G  5  6 0.2690 0.3860 19.770
    5G  5  8 0.2511 0.4107 19.770
    5G  5 10 0.2329 0.4331 19.770
    5G  5 12 0.2104 0.4578 19.770
    5G  5 14 0.1912 0.4773 19.770
    5G  5 16 0.1695 0.4981 19.770
    5G  5 18 0.1489 0.5171 19.770
    5G  5 20 0.1318 0.5321 19.770
    5G  5 22 0.1144 0.5463 19.770
    5G  5 24 0.0953 0.5628 19.770
    5G  5 26 0.0784 0.5761 19.770
    5G  5 28 0.0609 0.5898 19.770
  7.5G  5  2 0.2945 0.3355 19.770
  7.5G  5  4 0.2775 0.3545 19.770
  7.5G  5  6 0.2598 0.3724 19.770
  7.5G  5  8 0.2395 0.3915 19.770
  7.5G  5 10 0.2200 0.4082 19.770
  7.5G  5 12 0.1964 0.4271 19.770
  7.5G  5 14 0.1776 0.4415 19.770
  7.5G  5 16 0.1571 0.4561 19.770
  7.5G  5 18 0.1372 0.4705 19.770
  7.5G  5 20 0.1212 0.4817 19.770
  7.5G  5 22 0.1050 0.4927 19.770
  7.5G  5 24 0.0878 0.5039 19.770
  7.5G  5 26 0.0730 0.5131 19.770
  7.5G  5 28 0.0585 0.5224 19.770
   10G  5  2 0.2910 0.3310 19.770
   10G  5  4 0.2711 0.3455 19.770
   10G  5  6 0.2519 0.3587 19.770
   10G  5  8 0.2297 0.3730 19.770
   10G  5 10 0.2095 0.3853 19.770
   10G  5 12 0.1852 0.3992 19.770
   10G  5 14 0.1671 0.4089 19.770
   10G  5 16 0.1469 0.4192 19.770
   10G  5 18 0.1275 0.4288 19.770
   10G  5 20 0.1120 0.4360 19.770
   10G  5 22 0.0958 0.4428 19.770
   10G  5 24 0.0811 0.4491 19.770
   10G  5 26 0.0690 0.4542 19.770
   10G  5 28 0.0572 0.4590 19.770
 2.5BG  5  2 0.2880 0.3270 19.770
 2.5BG  5  4 0.2659 0.3369 19.770
 2.5BG  5  6 0.2448 0.3452 19.770
 2.5BG  5  8 0.2205 0.3537 19.770
 2.5BG  5 10 0.1980 0.3606 19.770
 2.5BG  5 12 0.1735 0.3668 19.770
 2.5BG  5 14 0.1559 0.3708 19.770
 2.5BG  5 16 0.1348 0.3750 19.770
 2.5BG  5 18 0.1165 0.3785 19.770
 2.5BG  5 20 0.1005 0.3814 19.770
 2.5BG  5 22 0.0861 0.3832 19.770
 2.5BG  5 24 0.0738 0.3851 19.770
   5BG  5  2 0.2841 0.3210 19.770
   5BG  5  4 0.2591 0.3246 19.770
   5BG  5  6 0.2360 0.3270 19.770
   5BG  5  8 0.2100 0.3280 19.770
   5BG  5 10 0.1850 0.3280 19.770
   5BG  5 12 0.1614 0.3280 19.770
   5BG  5 14 0.1448 0.3275 19.770
   5BG  5 16 0.1243 0.3261 19.770
   5BG  5 18 0.1046 0.3244 19.770
   5BG  5 20 0.0904 0.3231 19.770
   5BG  5 22 0.0781 0.3211 19.770
 7.5BG  5  2 0.2812 0.3161 19.770
 7.5BG  5  4 0.2550 0.3150 19.770
 7.5BG  5  6 0.2292 0.3125 19.770
 7.5BG  5  8 0.2030 0.3082 19.770
 7.5BG  5 10 0.1776 0.3032 19.770
 7.5BG  5 12 0.1537 0.2976 19.770
 7.5BG  5 14 0.1364 0.2932 19.770
 7.5BG  5 16 0.1167 0.2880 19.770
 7.5BG  5 18 0.0982 0.2828 19.770
  10BG  5  2 0.2796 0.3111 19.770
  10BG  5  4 0.2512 0.3040 19.770
  10BG  5  6 0.2234 0.2952 19.770
  10BG  5  8 0.1970 0.2860 19.770
  10BG  5 10 0.1716 0.2760 19.770
  10BG  5 12 0.1485 0.2662 19.770
  10BG  5 14 0.1308 0.2582 19.770
  10BG  5 16 0.1108 0.2489 19.770
  2.5B  5  2 0.2791 0.3071 19.770
  2.5B  5  4 0.2492 0.2954 19.770
  2.5B  5  6 0.2210 0.2823 19.770
  2.5B  5  8 0.1947 0.2687 19.770
  2.5B  5 10 0.1697 0.2549 19.770
  2.5B  5 12 0.1461 0.2406 19.770
  2.5B  5 14 0.1283 0.2292 19.770
  2.5B  5 16 0.1090 0.2166 19.770
    5B  5  2 0.2794 0.3032 19.770
    5B  5  4 0.2493 0.2879 19.770
    5B  5  6 0.2215 0.2701 19.770
    5B  5  8 0.1958 0.2519 19.770
    5B  5 10 0.1729 0.2347 19.770
    5B  5 12 0.1505 0.2172 19.770
    5B  5 14 0.1320 0.2021 19.770
    5B  5 16 0.1132 0.1863 19.770
  7.5B  5  2 0.2803 0.3000 19.770
  7.5B  5  4 0.2511 0.2808 19.770
  7.5B  5  6 0.2248 0.2612 19.770
  7.5B  5  8 0.2007 0.2417 19.770
  7.5B  5 10 0.1792 0.2230 19.770
  7.5B  5 12 0.1584 0.2042 19.770
  7.5B  5 14 0.1404 0.1878 19.770
  7.5B  5 16 0.1230 0.1711 19.770
   10B  5  2 0.2821 0.2966 19.770
   10B  5  4 0.2547 0.2757 19.770
   10B  5  6 0.2299 0.2548 19.770
   10B  5  8 0.2067 0.2344 19.770
   10B  5 10 0.1860 0.2149 19.770
   10B  5 12 0.1666 0.1964 19.770
   10B  5 14 0.1492 0.1797 19.770
   10B  5 16 0.1326 0.1632 19.770
   10B  5 18 0.1203 0.1505 19.770
 2.5PB  5  2 0.2847 0.2942 19.770
 2.5PB  5  4 0.2600 0.2720 19.770
 2.5PB  5  6 0.2365 0.2488 19.770
 2.5PB  5  8 0.2157 0.2278 19.770
 2.5PB  5 10 0.1968 0.2078 19.770
 2.5PB  5 12 0.1793 0.1894 19.770
 2.5PB  5 14 0.1642 0.1728 19.770
 2.5PB  5 16 0.1495 0.1559 19.770
 2.5PB  5 18 0.1363 0.1410 19.770
   5PB  5  2 0.2882 0.2923 19.770
   5PB  5  4 0.2662 0.2687 19.770
   5PB  5  6 0.2447 0.2449 19.770
   5PB  5  8 0.2255 0.2239 19.770
   5PB  5 10 0.2080 0.2041 19.770
   5PB  5 12 0.1918 0.1858 19.770
   5PB  5 14 0.1773 0.1689 19.770
   5PB  5 16 0.1638 0.1521 19.770
   5PB  5 18 0.1518 0.1365 19.770
 7.5PB  5  2 0.2918 0.2908 19.770
 7.5PB  5  4 0.2739 0.2666 19.770
 7.5PB  5  6 0.2563 0.2417 19.770
 7.5PB  5  8 0.2417 0.2204 19.770
 7.5PB  5 10 0.2285 0.2020 19.770
 7.5PB  5 12 0.2157 0.1830 19.770
 7.5PB  5 14 0.2042 0.1661 19.770
 7.5PB  5 16 0.1945 0.1511 19.770
 7.5PB  5 18 0.1862 0.1365 19.770
 7.5PB  5 20 0.1794 0.1239 19.770
  10PB  5  2 0.2959 0.2905 19.770
  10PB  5  4 0.2821 0.2659 19.770
  10PB  5  6 0.2686 0.2412 19.770
  10PB  5  8 0.2572 0.2211 19.770
  10PB  5 10 0.2478 0.2030 19.770
  10PB  5 12 0.2384 0.1857 19.770
  10PB  5 14 0.2299 0.1698 19.770
  10PB  5 16 0.2224 0.1555 19.770
  10PB  5 18 0.2174 0.1444 19.770
  10PB  5 20 0.2121 0.1329 19.770
  10PB  5 22 0.2082 0.1225 19.770
  2.5P  5  2 0.3000 0.2912 19.770
  2.5P  5  4 0.2898 0.2667 19.770
  2.5P  5  6 0.2806 0.2444 19.770
  2.5P  5  8 0.2728 0.2240 19.770
  2.5P  5 10 0.2665 0.2075 19.770
  2.5P  5 12 0.2608 0.1913 19.770
  2.5P  5 14 0.2560 0.1774 19.770
  2.5P  5 16 0.2515 0.1644 19.770
  2.5P  5 18 0.2476 0.1532 19.770
  2.5P  5 20 0.2438 0.1419 19.770
  2.5P  5 22 0.2402 0.1315 19.770
  2.5P  5 24 0.2372 0.1223 19.770
  2.5P  5 26 0.2348 0.1140 19.770
    5P  5  2 0.3045 0.2928 19.770
    5P  5  4 0.2986 0.2699 19.770
    5P  5  6 0.2932 0.2487 19.770
    5P  5  8 0.2885 0.2296 19.770
    5P  5 10 0.2845 0.2137 19.770
    5P  5 12 0.2806 0.1977 19.770
    5P  5 14 0.2775 0.1847 19.770
    5P  5 16 0.2744 0.1718 19.770
    5P  5 18 0.2718 0.1604 19.770
    5P  5 20 0.2694 0.1499 19.770
    5P  5 22 0.2673 0.1398 19.770
    5P  5 24 0.2652 0.1304 19.770
    5P  5 26 0.2635 0.1224 19.770
    5P  5 28 0.2618 0.1135 19.770
  7.5P  5  2 0.3103 0.2959 19.770
  7.5P  5  4 0.3100 0.2750 19.770
  7.5P  5  6 0.3093 0.2555 19.770
  7.5P  5  8 0.3087 0.2375 19.770
  7.5P  5 10 0.3080 0.2230 19.770
  7.5P  5 12 0.3071 0.2080 19.770
  7.5P  5 14 0.3068 0.1951 19.770
  7.5P  5 16 0.3060 0.1830 19.770
  7.5P  5 18 0.3052 0.1711 19.770
  7.5P  5 20 0.3042 0.1606 19.770
  7.5P  5 22 0.3038 0.1500 19.770
  7.5P  5 24 0.3030 0.1423 19.770
  7.5P  5 26 0.3022 0.1331 19.770
  7.5P  5 28 0.3018 0.1253 19.770
  7.5P  5 30 0.3010 0.1170 19.770
   10P  5  2 0.3148 0.2986 19.770
   10P  5  4 0.3198 0.2807 19.770
   10P  5  6 0.3243 0.2630 19.770
   10P  5  8 0.3280 0.2464 19.770
   10P  5 10 0.3308 0.2328 19.770
   10P  5 12 0.3335 0.2187 19.770
   10P  5 14 0.3360 0.2066 19.770
   10P  5 16 0.3382 0.1951 19.770
   10P  5 18 0.3401 0.1840 19.770
   10P  5 20 0.3422 0.1735 19.770
   10P  5 22 0.3437 0.1644 19.770
   10P  5 24 0.3450 0.1555 19.770
   10P  5 26 0.3468 0.1460 19.770
   10P  5 28 0.3478 0.1388 19.770
   10P  5 30 0.3490 0.1308 19.770
 2.5RP  5  2 0.3199 0.3019 19.770
 2.5RP  5  4 0.3298 0.2869 19.770
 2.5RP  5  6 0.3396 0.2718 19.770
 2.5RP  5  8 0.3490 0.2570 19.770
 2.5RP  5 10 0.3560 0.2452 19.770
 2.5RP  5 12 0.3635 0.2325 19.770
 2.5RP  5 14 0.3703 0.2211 19.770
 2.5RP  5 16 0.3763 0.2108 19.770
 2.5RP  5 18 0.3821 0.2007 19.770
 2.5RP  5 20 0.3873 0.1909 19.770
 2.5RP  5 22 0.3924 0.1814 19.770
 2.5RP  5 24 0.3965 0.1738 19.770
 2.5RP  5 26 0.4011 0.1652 19.770
   5RP  5  2 0.3256 0.3065 19.770
   5RP  5  4 0.3421 0.2954 19.770
   5RP  5  6 0.3585 0.2842 19.770
   5RP  5  8 0.3748 0.2729 19.770
   5RP  5 10 0.3880 0.2630 19.770
   5RP  5 12 0.4022 0.2523 19.770
   5RP  5 14 0.4142 0.2428 19.770
   5RP  5 16 0.4261 0.2331 19.770
   5RP  5 18 0.4372 0.2242 19.770
   5RP  5 20 0.4484 0.2150 19.770
   5RP  5 22 0.4581 0.2068 19.770
   5RP  5 24 0.4683 0.1978 19.770
 7.5RP  5  2 0.3296 0.3098 19.770
 7.5RP  5  4 0.3515 0.3024 19.770
 7.5RP  5  6 0.3726 0.2941 19.770
 7.5RP  5  8 0.3932 0.2852 19.770
 7.5RP  5 10 0.4108 0.2773 19.770
 7.5RP  5 12 0.4303 0.2675 19.770
 7.5RP  5 14 0.4454 0.2596 19.770
 7.5RP  5 16 0.4617 0.2506 19.770
 7.5RP  5 18 0.4761 0.2421 19.770
 7.5RP  5 20 0.4915 0.2330 19.770
 7.5RP  5 22 0.5045 0.2248 19.770
  10RP  6  2 0.3292 0.3141 30.050
  10RP  6  4 0.3508 0.3112 30.050
  10RP  6  6 0.3740 0.3074 30.050
  10RP  6  8 0.3930 0.3038 30.050
  10RP  6 10 0.4150 0.2989 30.050
  10RP  6 12 0.4360 0.2936 30.050
  10RP  6 14 0.4552 0.2881 30.050
  10RP  6 16 0.4781 0.2812 30.050
  10RP  6 18 0.4961 0.2751 30.050
  2.5R  6  2 0.3318 0.3166 30.050
  2.5R  6  4 0.3566 0.3163 30.050
  2.5R  6  6 0.3832 0.3158 30.050
  2.5R  6  8 0.4065 0.3144 30.050
  2.5R  6 10 0.4320 0.3118 30.050
  2.5R  6 12 0.4568 0.3082 30.050
  2.5R  6 14 0.4790 0.3041 30.050
  2.5R  6 16 0.5041 0.2983 30.050
  2.5R  6 18 0.5262 0.2928 30.050
    5R  6  2 0.3343 0.3190 30.050
    5R  6  4 0.3628 0.3221 30.050
    5R  6  6 0.3921 0.3244 30.050
    5R  6  8 0.4187 0.3251 30.050
    5R  6 10 0.4480 0.3250 30.050
    5R  6 12 0.4760 0.3234 30.050
    5R  6 14 0.5020 0.3212 30.050
    5R  6 16 0.5297 0.3179 30.050
    5R  6 18 0.5552 0.3138 30.050
  7.5R  6  2 0.3381 0.3228 30.050
  7.5R  6  4 0.3692 0.3291 30.050
  7.5R  6  6 0.4000 0.3340 30.050
  7.5R  6  8 0.4318 0.3383 30.050
  7.5R  6 10 0.4655 0.3412 30.050
  7.5R  6 12 0.4961 0.3428 30.050
  7.5R  6 14 0.5265 0.3431 30.050
  7.5R  6 16 0.5560 0.3420 30.050
  7.5R  6 18 0.5829 0.3396 30.050
   10R  6  2 0.3417 0.3268 30.050
   10R  6  4 0.3768 0.3381 30.050
   10R  6  6 0.4103 0.3473 30.050
   10R  6  8 0.4449 0.3550 30.050
   10R  6 10 0.4812 0.3619 30.050
   10R  6 12 0.5150 0.3667 30.050
   10R  6 14 0.5468 0.3697 30.050
   10R  6 16 0.5741 0.3713 30.050
   10R  6 18 0.6009 0.3720 30.050
 2.5YR  6  2 0.3453 0.3321 30.050
 2.5YR  6  4 0.3806 0.3467 30.050
 2.5YR  6  6 0.4180 0.3600 30.050
 2.5YR  6  8 0.4533 0.3708 30.050
 2.5YR  6 10 0.4891 0.3806 30.050
 2.5YR  6 12 0.5215 0.3887 30.050
 2.5YR  6 14 0.5488 0.3947 30.050
 2.5YR  6 16 0.5698 0.3990 30.050
 2.5YR  6 18 0.5879 0.4021 30.050
   5YR  6  2 0.3474 0.3373 30.050
   5YR  6  4 0.3840 0.3564 30.050
   5YR  6  6 0.4229 0.3750 30.050
   5YR  6  8 0.4592 0.3900 30.050
   5YR  6 10 0.4921 0.4022 30.050
   5YR  6 12 0.5199 0.4119 30.050
   5YR  6 14 0.5423 0.4188 30.050
   5YR  6 16 0.5597 0.4239 30.050
   5YR  6 18 0.5715 0.4270 30.050
 7.5YR  6  2 0.3487 0.3421 30.050
 7.5YR  6  4 0.3860 0.3652 30.050
 7.5YR  6  6 0.4242 0.3876 30.050
 7.5YR  6  8 0.4596 0.4064 30.050
 7.5YR  6 10 0.4904 0.4220 30.050
 7.5YR  6 12 0.5145 0.4331 30.050
 7.5YR  6 14 0.5320 0.4412 30.050
 7.5YR  6 16 0.5468 0.4478 30.050
  10YR  6  2 0.3491 0.3483 30.050
  10YR  6  4 0.3861 0.3767 30.050
  10YR  6  6 0.4240 0.4030 30.050
  10YR  6  8 0.4570 0.4249 30.050
  10YR  6 10 0.4843 0.4416 30.050
  10YR  6 12 0.5050 0.4536 30.050
  10YR  6 14 0.5200 0.4623 30.050
  2.5Y  6  2 0.3480 0.3540 30.050
  2.5Y  6  4 0.3840 0.3867 30.050
  2.5Y  6  6 0.4203 0.4176 30.050
  2.5Y  6  8 0.4517 0.4421 30.050
  2.5Y  6 10 0.4760 0.4607 30.050
  2.5Y  6 12 0.4928 0.4730 30.050
  2.5Y  6 14 0.5061 0.4829 30.050
    5Y  6  2 0.3457 0.3580 30.050
    5Y  6  4 0.3794 0.3955 30.050
    5Y  6  6 0.4140 0.4305 30.050
    5Y  6  8 0.4426 0.4588 30.050
    5Y  6 10 0.4639 0.4790 30.050
    5Y  6 12 0.4780 0.4920 30.050
    5Y  6 14 0.4905 0.5038 30.050
  7.5Y  6  2 0.3431 0.3601 30.050
  7.5Y  6  4 0.3745 0.4004 30.050
  7.5Y  6  6 0.4060 0.4400 30.050
  7.5Y  6  8 0.4321 0.4719 30.050
  7.5Y  6 10 0.4512 0.4943 30.050
  7.5Y  6 12 0.4638 0.5087 30.050
  7.5Y  6 14 0.4754 0.5220 30.050
   10Y  6  2 0.3398 0.3611 30.050
   10Y  6  4 0.3679 0.4033 30.050
   10Y  6  6 0.3960 0.4452 30.050
   10Y  6  8 0.4201 0.4812 30.050
   10Y  6 10 0.4372 0.5068 30.050
   10Y  6 12 0.4488 0.5237 30.050
   10Y  6 14 0.4593 0.5392 30.050
 2.5GY  6  2 0.3342 0.3607 30.050
 2.5GY  6  4 0.3572 0.4038 30.050
 2.5GY  6  6 0.3799 0.4470 30.050
 2.5GY  6  8 0.4006 0.4885 30.050
 2.5GY  6 10 0.4159 0.5190 30.050
 2.5GY  6 12 0.4269 0.5414 30.050
 2.5GY  6 14 0.4354 0.5594 30.050
   5GY  6  2 0.3288 0.3592 30.050
   5GY  6  4 0.3461 0.4008 30.050
   5GY  6  6 0.3622 0.4438 30.050
   5GY  6  8 0.3772 0.4880 30.050
   5GY  6 10 0.3891 0.5264 30.050
   5GY  6 12 0.3980 0.5564 30.050
   5GY  6 14 0.4042 0.5788 30.050
 7.5GY  6  2 0.3193 0.3550 30.050
 7.5GY  6  4 0.3275 0.3922 30.050
 7.5GY  6  6 0.3351 0.4321 30.050
 7.5GY  6  8 0.3418 0.4768 30.050
 7.5GY  6 10 0.3463 0.5196 30.050
 7.5GY  6 12 0.3488 0.5596 30.050
 7.5GY  6 14 0.3498 0.5985 30.050
 7.5GY  6 16 0.3498 0.6282 30.050
  10GY  6  2 0.3112 0.3496 30.050
  10GY  6  4 0.3124 0.3822 30.050
  10GY  6  6 0.3128 0.4175 30.050
  10GY  6  8 0.3116 0.4563 30.050
  10GY  6 10 0.3086 0.4949 30.050
  10GY  6 12 0.3037 0.5358 30.050
  10GY  6 14 0.2962 0.5802 30.050
  10GY  6 16 0.2872 0.6199 30.050
  10GY  6 18 0.2763 0.6616 30.050
  10GY  6 20 0.2648 0.7004 30.050
  2.5G  6  2 0.3039 0.3437 30.050
  2.5G  6  4 0.2967 0.3695 30.050
  2.5G  6  6 0.2892 0.3963 30.050
  2.5G  6  8 0.2799 0.4239 30.050
  2.5G  6 10 0.2690 0.4530 30.050
  2.5G  6 12 0.2574 0.4814 30.050
  2.5G  6 14 0.2426 0.5133 30.050
  2.5G  6 16 0.2278 0.5430 30.050
  2.5G  6 18 0.2102 0.5737 30.050
  2.5G  6 20 0.1922 0.6035 30.050
  2.5G  6 22 0.1739 0.6318 30.050
  2.5G  6 24 0.1536 0.6605 30.050
  2.5G  6 26 0.1340 0.6871 30.050
  2.5G  6 28 0.1145 0.7122 30.050
    5G  6  2 0.2988 0.3382 30.050
    5G  6  4 0.2868 0.3595 30.050
    5G  6  6 0.2748 0.3795 30.050
    5G  6  8 0.2612 0.3990 30.050
    5G  6 10 0.2466 0.4181 30.050
    5G  6 12 0.2293 0.4390 30.050
    5G  6 14 0.2130 0.4571 30.050
    5G  6 16 0.1960 0.4751 30.050
    5G  6 18 0.1785 0.4924 30.050
    5G  6 20 0.1609 0.5091 30.050
    5G  6 22 0.1432 0.5252 30.050
    5G  6 24 0.1252 0.5408 30.050
    5G  6 26 0.1079 0.5560 30.050
    5G  6 28 0.0908 0.5695 30.050
  7.5G  6  2 0.2958 0.3344 30.050
  7.5G  6  4 0.2807 0.3522 30.050
  7.5G  6  6 0.2662 0.3672 30.050
  7.5G  6  8 0.2510 0.3829 30.050
  7.5G  6 10 0.2350 0.3979 30.050
  7.5G  6 12 0.2171 0.4138 30.050
  7.5G  6 14 0.2001 0.4278 30.050
  7.5G  6 16 0.1832 0.4414 30.050
  7.5G  6 18 0.1654 0.4551 30.050
  7.5G  6 20 0.1485 0.4677 30.050
  7.5G  6 22 0.1325 0.4795 30.050
  7.5G  6 24 0.1159 0.4910 30.050
  7.5G  6 26 0.1010 0.5018 30.050
  7.5G  6 28 0.0858 0.5127 30.050
   10G  6  2 0.2929 0.3303 30.050
   10G  6  4 0.2749 0.3443 30.050
   10G  6  6 0.2591 0.3558 30.050
   10G  6  8 0.2420 0.3679 30.050
   10G  6 10 0.2247 0.3796 30.050
   10G  6 12 0.2060 0.3914 30.050
   10G  6 14 0.1895 0.4015 30.050
   10G  6 16 0.1722 0.4113 30.050
   10G  6 18 0.1551 0.4208 30.050
   10G  6 20 0.1382 0.4299 30.050
   10G  6 22 0.1230 0.4378 30.050
   10G  6 24 0.1070 0.4458 30.050
   10G  6 26 0.0941 0.4520 30.050
 2.5BG  6  2 0.2902 0.3268 30.050
 2.5BG  6  4 0.2702 0.3369 30.050
 2.5BG  6  6 0.2526 0.3448 30.050
 2.5BG  6  8 0.2332 0.3522 30.050
 2.5BG  6 10 0.2148 0.3584 30.050
 2.5BG  6 12 0.1954 0.3645 30.050
 2.5BG  6 14 0.1779 0.3699 30.050
 2.5BG  6 16 0.1600 0.3748 30.050
 2.5BG  6 18 0.1428 0.3790 30.050
 2.5BG  6 20 0.1269 0.3829 30.050
 2.5BG  6 22 0.1120 0.3860 30.050
   5BG  6  2 0.2872 0.3219 30.050
   5BG  6  4 0.2648 0.3262 30.050
   5BG  6  6 0.2441 0.3290 30.050
   5BG  6  8 0.2236 0.3311 30.050
   5BG  6 10 0.2037 0.3329 30.050
   5BG  6 12 0.1844 0.3337 30.050
   5BG  6 14 0.1662 0.3343 30.050
   5BG  6 16 0.1491 0.3345 30.050
   5BG  6 18 0.1325 0.3345 30.050
   5BG  6 20 0.1168 0.3344 30.050
 7.5BG  6  2 0.2849 0.3172 30.050
 7.5BG  6  4 0.2604 0.3169 30.050
 7.5BG  6  6 0.2384 0.3155 30.050
 7.5BG  6  8 0.2171 0.3138 30.050
 7.5BG  6 10 0.1961 0.3110 30.050
 7.5BG  6 12 0.1762 0.3081 30.050
